feature,mean_abs_shap
num__has_advisory_ref,0.5710534
num__days_since_modified,0.50849634
num__references_count,0.24802686
num__days_since_published,0.15878604
num__feat_word_count,0.15155423
num__summary_len,0.13846686
num__details_len,0.12596977
cat__feat_cwe_tier_rce,0.11052391
num__feat_kw_remote,0.092920564
cat__feat_cwe_family_506,0.0927891
num__feat_text_len,0.08996741
num__feat_references_count,0.08086587
num__feat_days_since_modified,0.07677381
num__feat_modified_year,0.076262794
num__published_year,0.06980441
num__feat_has_advisory_ref,0.057852786
num__is_static,0.052045044
num__feat_package_len,0.050180707
cat__feat_cwe_family_1333,0.045421362
cat__feat_cwe_tier_injection,0.042281363
cat__scanner_type_SCA,0.038929738
num__feat_kw_rce,0.0380786
num__feat_kw_prototype,0.034364168
num__feat_kw_dos,0.0338717
num__feat_days_since_published,0.031695884
num__feat_kw_injection,0.0305904
num__feat_kw_unauth,0.0286418
cat__feat_cwe_family_311,0.027525404
num__feat_danger_kw_count,0.024221482
cat__feat_package_scope_infrequent_sklearn,0.023356037
cat__package_name_next,0.01995913
num__feat_has_cwe,0.01978518
num__github_reviewed,0.018611422
cat__feat_cwe_tier_disclosure,0.016123587
cat__feat_scanner_type_SCA,0.015552043
num__feat_kw_path,0.012921668
num__versions_count,0.011906351
cat__package_name_openclaw,0.010689671
cat__package_name_infrequent_sklearn,0.010220314
cat__package_name_ghost,0.010077146
cat__feat_cwe_family_913,0.009669638
cat__feat_cwe_family_79,0.008887317
num__has_patch_ref,0.008630883
num__feat_is_static,0.007850831
cat__feat_cwe_family_601,0.0062047252
num__feat_withdrawn_year,0.0059043807
cat__feat_cwe_family_89,0.005854737
cat__package_name_flowise,0.005077521
cat__package_name_directus,0.0048600044
cat__package_name_hono,0.0045674574
cat__feat_cwe_family_306,0.004552924
cat__scanner_type_SAST,0.0043800734
cat__package_name_vite,0.004292789
num__feat_kw_priv_esc,0.0041731326
cat__package_name_ckeditor4,0.0039604437
num__feat_kw_overflow,0.003785375
cat__feat_cwe_tier_other,0.003476588
num__is_dynamic,0.0033739517
num__feat_kw_bypass,0.0033131586
cat__feat_cwe_family_200,0.0031795113
cat__feat_cwe_family_502,0.0031612709
cat__feat_cwe_tier_ssrf_path,0.0030682168
cat__feat_cwe_family_22,0.0030078823
cat__feat_cwe_family_74,0.0029050151
cat__feat_cwe_family_infrequent_sklearn,0.002610384
cat__feat_package_scope_@sentry,0.002608643
num__ranges_count,0.0023298247
cat__feat_cwe_family_352,0.002226199
num__feat_kw_disclosure,0.0021962991
cat__feat_cwe_family_346,0.0019837783
cat__feat_cwe_family_444,0.0019284246
num__feat_is_dynamic,0.0018442577
cat__package_name_vm2,0.0014757697
cat__feat_cwe_family_693,0.0014458041
cat__feat_package_scope_@clerk,0.0012161027
cat__feat_cwe_family_434,0.001141165
cat__feat_cwe_family_1188,0.0011167569
cat__package_name_strapi,0.001101707
cat__feat_cwe_family_774,0.0008299903
cat__feat_cwe_tier_auth_bypass,0.0007483739
num__feat_kw_no_interaction,0.0
num__feat_kw_deserialize,0.0
num__feat_published_year,0.0
num__feat_versions_count,0.0
cat__package_name_@nyariv/sandboxjs,0.0
cat__package_name_@directus/api,0.0
num__feat_is_scoped_package,0.0
num__feat_ranges_count,0.0
num__feat_has_patch_ref,0.0
num__feat_github_reviewed,0.0
cat__package_name_bootstrap,0.0
cat__package_name_axios,0.0
cat__package_name_astro,0.0
cat__package_name_angular,0.0
cat__package_name_@sveltejs/kit,0.0
cat__package_name_UNKNOWN_PACKAGE,0.0
cat__package_name_@openzeppelin/contracts-upgradeable,0.0
cat__package_name_@openzeppelin/contracts,0.0
cat__package_name_@anthropic-ai/claude-code,0.0
cat__package_name_@oneuptime/common,0.0
cat__feat_cwe_family_203,0.0
cat__feat_cwe_family_20,0.0
cat__package_name_nodebb,0.0
cat__package_name_sequelize,0.0
cat__package_name_tar,0.0
cat__package_name_tinymce,0.0
cat__scanner_type_UNKNOWN,0.0
cat__scanner_type_DAST,0.0
cat__package_name_undici,0.0
cat__package_name_node-forge,0.0
cat__package_name_parse-server,0.0
cat__package_name_joplin,0.0
cat__package_name_flowise-components,0.0
cat__package_name_jquery,0.0
cat__package_name_nocodb,0.0
cat__package_name_n8n,0.0
cat__package_name_marked,0.0
cat__package_name_jspdf,0.0
cat__package_name_handlebars,0.0
cat__package_name_dompurify,0.0
cat__package_name_electron,0.0
cat__package_name_clawdbot,0.0
cat__feat_cwe_family_426,0.0
cat__feat_cwe_family_400,0.0
cat__feat_cwe_family_367,0.0
cat__feat_cwe_family_362,0.0
cat__feat_cwe_family_347,0.0
cat__feat_cwe_family_290,0.0
cat__feat_cwe_family_327,0.0
cat__feat_cwe_family_345,0.0
cat__feat_cwe_family_287,0.0
cat__feat_cwe_family_285,0.0
cat__feat_cwe_family_295,0.0
cat__feat_cwe_family_201,0.0
cat__feat_cwe_family_208,0.0
cat__feat_cwe_family_248,0.0
cat__feat_cwe_family_269,0.0
cat__feat_cwe_family_284,0.0
cat__feat_cwe_family_116,0.0
cat__feat_cwe_family_125,0.0
cat__feat_cwe_family_1385,0.0
cat__feat_cwe_family_1321,0.0
cat__feat_cwe_family_184,0.0
cat__feat_cwe_family_829,0.0
cat__feat_cwe_family_706,0.0
cat__feat_cwe_family_674,0.0
cat__feat_cwe_family_77,0.0
cat__feat_cwe_family_754,0.0
cat__feat_cwe_family_668,0.0
cat__feat_cwe_family_639,0.0
cat__feat_cwe_family_613,0.0
cat__feat_cwe_family_59,0.0
cat__feat_cwe_family_436,0.0
cat__feat_cwe_family_532,0.0
cat__feat_cwe_family_UNKNOWN,0.0
cat__feat_cwe_family_94,0.0
cat__feat_cwe_family_918,0.0
cat__feat_cwe_family_915,0.0
cat__feat_cwe_family_863,0.0
cat__feat_cwe_family_88,0.0
cat__feat_cwe_family_843,0.0
cat__feat_cwe_family_862,0.0
cat__feat_cwe_family_78,0.0
cat__feat_cwe_family_770,0.0
cat__feat_cwe_family_835,0.0
cat__feat_package_scope_@anthropic-ai,0.0
cat__feat_cwe_tier_memory,0.0
cat__feat_cwe_tier_unknown,0.0
cat__feat_package_scope_@angular,0.0
cat__feat_cwe_tier_dos,0.0
cat__feat_package_scope_@builder.io,0.0
cat__feat_package_scope_@budibase,0.0
cat__feat_package_scope_@backstage,0.0
cat__feat_package_scope_@apollo,0.0
cat__feat_package_scope_@fastify,0.0
cat__feat_package_scope_@nyariv,0.0
cat__feat_package_scope_@directus,0.0
cat__feat_package_scope_@ckeditor,0.0
cat__feat_package_scope_@openzeppelin,0.0
cat__feat_package_scope_@oneuptime,0.0
cat__feat_package_scope_@sveltejs,0.0
cat__feat_package_scope_@strapi,0.0
cat__feat_package_scope_unscoped,0.0
cat__feat_scanner_type_DAST,0.0
cat__feat_scanner_type_SAST,0.0
cat__feat_scanner_type_UNKNOWN,0.0
